	Last updated on 23/10/2024	
2235	310500000	Diet good (finding)
2236	170661005	Using inhaled steroids - normal dose (finding)
2237	827241000000103	Dissent from secondary use of general practitioner patient identifiable data
2238	395109004	Main spoken language Kurdish
2239	165324008	Biopsy result normal
2240	1324831000000104	Did not attend for first dose of SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2) vaccine
2241	1129341000000105	Canadian Study of Health and Aging (Rockwood) Clinical Frailty Scale level 2 - well (finding)
2242	809661000000101	Advice about Healthy Start voucher scheme (procedure)
2243	89581000000109	Did not attend asthma clinic
2244	160652009	Takes inadequate exercise (finding)
2245	1321041000000101	Self-taken swab for SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2) offered
2246	203551000000108	Health education - parental smoking (procedure)
2247	407648002	Main spoken language Albanian (finding)
2248	416898003	Advice about shaking babies
2249	308436005	Referral to district nurse (procedure)
2250	880481000000100	Postnatal examination third invitation (procedure)
2251	268519009	Diabetic - poor control (finding)
2252	273479001	General health questionnaire (assessment scale)
2253	184142008	Patient's next of kin
2254	185680002	Chronic disease monitoring - second recall
2255	343821000000100	Contraceptive check administration
2256	1083231000000108	Signposting to audiology service (procedure)
2257	711611000000103	Cervical smear screening verbal invitation (procedure)
2258	978031000000109	White: any other White ethnic group - Scotland ethnic category 2011 census (finding)
2259	1090701000000104	NHS Diabetes Prevention Programme invitation
2260	1025211000000108	National Health Service Diabetes Prevention Programme not completed (situation)
2261	909421000000102	Diabetes Distress Scale 2 item score (observable entity)
2262	277052006	Continuity (attribute)
2263	171152003	Screening for malignant neoplasm of cervix not wanted
2264	978171000000105	Asian or Asian Scottish or Asian British: Bangladeshi, Bangladeshi Scottish or Bangladeshi British - Scotland ethnic category 2011 census
2265	863151000000105	Peripheral vascular disease monitoring second letter (procedure)
2266	852071000000103	Member of military family (finding)
2267	898671000000102	Consent given for educational use of video recording
2268	116471000119100	Blood test declined
2269	391125004	Medical Research Council Breathlessness Scale grade 4
2270	1322901000000109	SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2) antibody detection result indeterminate
2271	160558004	Methodist
2272	300994001	Registered partially sighted (finding)
2273	892201000000106	Fast track referral for suspected lower gastrointestinal cancer (procedure)
2274	1110981000000104	QOF stroke and transient ischaemic attack quality indicator-related care invitation
2275	371541002	Provider comment report (record artifact)
2276	1366401000000107	Valproate Annual Risk Acknowledgement Form completed (situation)
2277	170867007	Gynecological follow-up assessment
2278	247931000000109	Smear normal - patient notified
2279	1239571000000105	Referral to total diet replacement programme
2280	397540003	Visual impairment (disorder)
2281	516141000000100	Impaired glucose tolerance monitoring invitation
2282	149421000000109	Provision of faecal immunochemical test (FIT) kit
2283	310352003	Mammography not attended
2284	700228005	Wishes to donate body after death to medical research (finding)
2285	699849008	Healthy eating education (procedure)
2286	306098008	Self-referral (procedure)
2287	225358003	Wound care (regime/therapy)
2288	871641000000105	Referral to smoking cessation service declined
2289	519721000000101	Referral for assessment of needs of carer
2290	65853000	Student (occupation)
2291	1083471000000106	Signposting to mental health service
2292	699249000	Alert received from telehealth monitoring system
2293	42985911000001104	Spikevax JN.1 COVID-19 mRNA Vaccine 0.1mg/ml dispersion for injection multidose vials (Moderna, Inc) (product)
2294	325671000000104	Integrated care plan (record artifact)
2295	415260000	Referral for minor surgery
2296	110299009	Poor oral hygiene (finding)
2297	310876000	Cholesterol reduction program, function (observable entity)
2298	408589008	Falls assessment (procedure)
2299	160552003	No religious belief
2300	308472003	Referral to dermatologist (procedure)
2301	1110911000000106	QOF depression quality indicator-related care invitation
2302	1104521000000104	Signposting to lung health check (procedure)
2303	39301111000001104	Generic COVID-19 Vaccine AstraZeneca (ChAdOx1 S [recombinant]) 5x10,000,000,000 viral particles/0.5ml dose solution for injection multidose vials 100 dose (product)
2304	717191000000108	Heart Failure monitoring second letter
2305	27942005	Shock
2306	170629006	Bronchodilators used more than once daily (finding)
2307	169485001	Contraceptive intrauterine device change due
2308	700221004	Care of elderly service (qualifier value)
2309	1025741000000103	Has kinship carer (finding)
2310	275561000	Regular blood donor (situation)
2311	224191006	Income insufficient to meet needs (finding)
2312	170114005	Child examination - 6 weeks (procedure)
2313	408968008	Contraception care education
2314	139394000	Nocturia (finding)
2315	160617001	Stopped smoking (finding)
2316	924481000000109	Self monitoring of blood pressure
2317	138389411000119105	Acute bronchitis caused by SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2)
2318	8510008	Reduced mobility (finding)
2319	752821000000108	Advice about intrauterine contraceptive device, checking for threads (situation)
2320	417577000	Refer to early pregnancy unit (procedure)
2321	38070000	Cohabiting (finding)
2322	417516000	Anaphylaxis caused by substance (disorder)
2323	184156005	Has a carer
2324	762711000000104	Written advice about LARC
2325	882421000000102	Rheumatoid arthritis monitoring invitation second letter
2326	229774002	Carer
2327	414938004	On repeat dispensing system
2328	398772000	Hypoglycamia education
2329	898691000000103	Consent given for video recording for assessment
2330	39214511000001101	COVID-19 mRNA Vaccine BNT162b2 30micrograms/0.3ml dose concentrate for suspension for injection multidose vials (Pfizer-BioNTech) (Pfizer-BioNTech) 975 dose 195 x 5 dose vials (product)
2331	308459004	Refer to psychologist
2332	836461000000103	Cervical smear screening invitation first SMS message text
2333	921361000000105	Healthy lifestyle programme offered
2334	1.1072E+15	Self referral for digital cognitive behavioural therapy for insomnia (procedure)
2335	275954009	On examination - irregular pulse
2336	868161000000103	Pre-school booster immunisation invitation third letter
2337	315570003	Main spoken language English
2338	308512009	Smoking monitoring status (finding)
2339	90560007	Inflammatory disorder due to increased blood urate level (disorder)
2340	1077881000000105	Attendance details (record artifact)
2341	419760006	Bacterial vaginosis (disorder)
2342	247511000000105	Patient advised to telephone for test result
2343	1927871000006108	Subject access request completed
2344	407619008	2 to 4 seizures a month (finding)
2345	390863001	Poor compliance with inhaler (finding)
2346	270352002	Medical examinations/reports (procedure)
2347	288578001	Does not communicate (finding)
2348	288852001	Ability to drink (observable entity)
2349	135799002	Angiotensin converting enzyme inhibitor indicated (situation)
2350	850581000000106	High risk of diabetes mellitus annual review
2351	134417007	Level of mood - normal (finding)
2352	305281000000108	Keep well programme declined (situation)
2353	445450000	Encounter by short message service text messaging (procedure)
2354	266895004	Family history of ischaemic heart disease at less than 60 years
2355	275122004	Family history of myocardial infarction at less than 60 years
2356	762261000000105	Unable to dress appropriately (finding)
2357	25721000000107	Template entry - EHR composition type (record artifact)
2358	314434008	Preference for female healthcare professional (finding)
2359	160538000	Religious affiliation (observable entity)
2360	803731000000103	Patient participation group member
2361	401118009	Hypertension annual review (procedure)
2362	315584008	Main spoken language Spanish
2363	1082651000000109	Information and communication accessibility needs identified (situation)
2364	25711000000101	Initial post dischage review
2365	711571000000107	Cervical smear screening second letter
2366	185386002	Asked to come in - research (finding)
2367	925541000000101	Latent tuberculosis screening invitation (procedure)
2368	310422005	Prevention/screening invitation
2369	408512008	Body mass index 40+ - severely obese (finding)
2370	167220002	Urinalysis requested
2371	390864007	Referral for exercise therapy (procedure)
2372	228448000	Exercises regularly (finding)
2373	1103691000000102	Diabetes structured education programme offered
2374	515741000000106	Family history of myocardial infarction in first degree relative less than 60 years (situation)
2375	315213009	Not a passive smoker
2376	134278006	Reads French
2377	763380007	Provision of chaperone declined (situation)
2378	443117005	Asthma control test score
2379	13791008	Asthenia
2380	870991000000101	National Health Service Health Check raising awareness about dementia and memory clinics (procedure)
2381	710871000000104	Advice about breast screening programme
2382	24801000000108	GMS - full registration
2383	968291000000105	Health visitor child 9 to 12 month contact declined (situation)
2384	315023008	Aspirin prophylaxis declined (situation)
2385	185925007	Prescription event monitoring
2386	836501000000103	Cervical smear screening third invitation SMS message text
2387	161119008	Primary school (environment)
2388	796081000000106	Requires contact by text relay
2389	183703007	Urology self-referral (procedure)
2390	160700001	Homeless single person (finding)
2391	716421000000103	Depression monitoring telephone invitation
2392	851141000000101	Provision of information about cervical screening programme
2393	84445001	Joint stiffness (finding)
2394	320011000000108	Declined consent to share patient data with specified third party
2395	511471000000105	Choose and book referral rejected by service provider
2396	270440008	Hypertension monitoring check done (finding)
2397	185758007	Diabetes monitoring third letter
2398	185303007	Seen by podiatrist
2399	134286006	Reads Arabic
2400	473213008	Celiac disease annual review (regime/therapy)
2401	892231000000100	Loan equipment returned (finding)
2402	285116001	Gender identity finding (finding)
2403	962701000000105	Carer health check (procedure)
2404	712801000000108	Learning disability annual health check invitation second letter
2405	161971004	Chest pain not present (situation)
2406	413123006	Blood pressure procedure declined
2407	522401000000101	Failed to respond to National Health Service Health Check invitation (finding)
2408	23971007	Acute vomiting
2409	293501000000109	Patient advised about nutrition (situation)
2410	723245007	Number of COPD exacerbations in past year
2411	836571000000106	Generalised anxiety disorder 2 scale score (observable entity)
2412	134397009	Angiotensin converting enzyme inhibitor declined (situation)
2413	81548002	Elevated mood (finding)
2414	810751000000103	Immunisation information leaflet given
2415	183964008	Treatment not indicated (situation)
2416	1036651000000102	Musculoskeletal Health Questionnaire total score (observable entity)
2417	527091000000103	Contraceptive advice for patients with epilepsy declined (situation)
2418	941781000000103	Impaired glucose regulation monitoring invitation
2419	310866003	Informing patient
2420	203191000000107	Wants to stop smoking
2421	867751000000101	Second Primary Immunisation Invitation second letter
2422	1054331000000109	Provision of information about infant safe sleeping
2423	870591003	Rhabdomyolysis due to disease caused by SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2)
2424	764841000000100	Looked after child (finding)
2425	309032007	Research administrative status (finding)
2426	182891003	Patient misunderstood treatment instructions (finding)
2427	391002003	Number of falls in last year (observable entity)
2428	225323000	Smoking cessation advice
2429	198371000000101	Withdrawn from repeat dispensing system
2430	150091000000106	Provision of information about Infant crying is normal (ICON), Comforting methods can help, It’s OK to walk away, Never, ever shake a baby
2431	308526000	Clinic C monitoring call (procedure)
2432	183830008	Refer for X-ray
2433	904611000000107	Intensive weight management programme ended (situation)
2434	698470001	Advice given about prostate cancer screening
2435	171288004	No immunization history record (finding)
2436	182838006	Change of medication
2437	185731000	Asthma monitoring Call first letter
2438	168733007	Standard chest X-ray normal
2439	751481000000104	eMED3 (2010) new statement issued, not fit for work
2440	370202007	Asthma causes daytime symptoms 1 to 2 times per month
2441	713863004	Patient Activation Measure (assessment scale)
2442	1129331000000101	Canadian Study of Health and Aging (Rockwood) Clinical Frailty Scale level 1 - very fit (finding)
2443	198871000000105	Referral to minor ailment scheme
2444	704273008	Consent declined for examination of cardiovascular system (finding)
2445	967006	Medication education
2446	861551000000100	Diabetic foot screening invitation second letter (procedure)
2447	736601004	Inhaler technique shown
2448	717211000000107	Depression monitoring first letter
2449	1324681000000101	Administration of first dose of SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2) vaccine
2450	717521000000104	Chronic obstructive pulmonary disease monitoring third letter
2451	864651000000104	Declines to give urine specimen
2452	34713006	Vitamin D deficiency
2453	1321651000000105	SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2) immunity status unknown
2454	1325711000000103	Personalised Care and Support Planning declined (situation)
2455	719873005	Fibrosis-4 index score (observable entity)
2456	160655006	Willing to be donor of blood (finding)
2457	13741000000105	FP69 form warning of removal from list
2458	308438006	Smoking restarted (finding)
2459	1324711000000102	Allergy to SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2) vaccine
2460	492611000000102	Cardiovascular disease high risk review (regime/therapy)
2461	414230000	Family/carer referral to diabetes structured education program
2462	1110971000000101	QOF smoking quality indicator-related care invitation
2463	908781000000104	Ex user of electronic cigarette
2464	224127003	Family with school age child (finding)
2465	805981000000102	Excepted from rheumatoid arthritis quality indicators - informed dissent
2466	492191000000103	Ex roll-up cigarette smoker (finding)
2467	391097003	Family history: Hip fracture in first degree relative (situation)
2468	82302008	Pipe smoker (finding)
2469	777351000000106	Subject not contactable, reasonable efforts made (finding)
2470	86139000	Jainism
2471	714541000000104	Research administration (record artifact)
2472	1034771000000106	National Health Service Health Check commenced (situation)
2473	410200000	Weight control education
2474	446497005	Has driver's license (finding)
2475	223448003	Recommendation to read information (procedure)
2476	201761000000101	Did not attend cervical smear
2477	408363009	Patient understands why taking all medication
2478	201041000000104	Asthma trigger - seasonal
2479	353811000000108	Referral declined (situation)
2480	160685001	Bed-ridden (finding)
2481	183097007	Diabetic leaflet given (situation)
2482	1240581000000104	COVID-19 detected
2483	168379004	Helicobacter breath test negative
2484	839731000000109	Discharge from in-house dermatology (procedure)
2485	185723005	Hypertension monitoring telephone invite
2486	160939001	House rented from housing association (finding)
2487	88171000000109	Aspirin not tolerated (situation)
2488	978231000000100	African: African Scottish or African British - Scotland ethnic category 2011 census
2489	868131000000108	Pre-school booster immunisation invitation second letter
2490	309252004	Unable to read
2491	201051000000101	Asthma trigger - animals
2492	805291000000107	Glyceryl trinitrate administration education (procedure)
2493	16001004	Otalgia
2494	813991000000101	Education about deteriorating heart failure (procedure)
2495	846651000000102	Education about ketoacidosis (procedure)
2496	763221007	Asthma Monitoring refused
2497	815391000000101	Membership of patient participation group ended (situation)
2498	922731000000106	Anticoagulant medication review (procedure)
2499	224493002	Carer willing to share care with professionals
2500	315582007	Main spoken language Russian (finding)
2501	32911000	Homeless (finding)
2502	1025721000000105	Online access to local general practice service declined (situation)
2503	817581000000101	Copy of clinical record given to patient (finding)
2504	862701000000104	Long term condition summary sent to patient (finding)
2505	301744001	Unable to perform information technology activities
2506	129015001	Using wheelchair (observable entity)
2507	205801000000109	High risk drug monitoring - shared care (finding)
2508	520591000000105	Communication support finding
2509	1129371000000104	Canadian Study of Health and Aging (Rockwood) Clinical Frailty Scale level 5 - mildly frail (finding)
2510	428415003	Temporarily housebound (finding)
2511	390941006	COPD monitoring due
2512	365981007	Smoking
2513	279381000000103	Referral to primary care mental health team
2514	713776001	Email received from third party
2515	438517001	Referral to sleep clinic (procedure)
2516	1082641000000106	Alcohol units consumed per week (observable entity)
2517	759311000000103	Housebound patient review (procedure)
2518	340901000000107	Asthma trigger - exercise
2519	307571006	Anticoagulant drug monitoring
2520	867971000000108	12-13 months immunisations invitation first letter
2521	1363001000000106	Referral to Improving Access to Psychological Therapies programme offered (situation)
2522	976971000000106	Other ethnic group: any other ethnic group - England and Wales ethnic category 2011 census
2523	1218771000000103	Declined to provide information about financial circumstances (situation)
2524	1083481000000108	Signposting to Mental Health Nurse
2525	421704003	New York Heart Association Classification - class II
2526	68962001	Muscle pain
2527	276221000000100	Referred for health coaching
2528	867871000000100	Review of mental health care plan
2529	817601000000105	Copy of clinical record sent to patient (finding)
2530	894301000000105	Frailty needs assessment planned (situation)
2531	1129721000000102	Three Item Loneliness Scale score (observable entity)
2532	1402991000000104	Referral to National Health Service Tier 4 specialist weight management service (procedure)
2533	416974006	Referred for exercise program (finding)
2534	771981000000105	Asthma limits activities 1 to 2 times per month
2535	962641000000100	Carer Health Check Offered
2536	977141000000100	STOPBang questionnaire (assessment scale)
2537	249983008	Feels as though will fall (finding)
2538	166816003	Serum lipids high
2539	1092561000000107	Employed by care home (finding)
2540	698473004	Blood glucose test declined
2541	407542009	Informal caregiver (person)
2542	439578005	Swab from nasopharynx taken for virology (situation)
2543	148471000000103	Seen by health and wellbeing coach
2544	135826008	Lipid lowering therapy declined (situation)
2545	170557005	Chronic disease initial assessment (finding)
	977711000000100	Asian or Asian British: Pakistani - Northern Ireland ethnic category 2011 census
	225835008	Needs an advocate (finding)
	225478005	Verbally abusive behavior
	302767002	Cares for a relative (finding)
	304507003	Exercise education
	340921000000103	Asthma trigger - tobacco smoke
	835731000000106	Using inhaled steroids - low dose (finding)
	1402911000000108	Referral to National Health Service Digital Weight Management Programme (procedure)
	408565001	Requires communication partner (finding)
	401047000	Hypertension treatment declined (situation)
	913031000000106	Dietary education for irritable bowel syndrome
	160585006	Ex-heavy drinker - (7-9u/day) (finding)
	61396006	Structure of left thigh (body structure)
	1024711000000103	Has novel anticoagulation alert card
	165349007	Blood test due
	401065001	Family history: Angina in first degree female relative less than 65 years (situation)
	752241000000102	Consent declined by person with parental responsibility (finding)
	760661000000106	No longer housebound (finding)
	1659441000000104	Education about Fournier's gangrene (procedure)
	713791000000101	Heart failure monitoring administration (record artifact)
	408438005	Recommendation to caregiver regarding child's safety (procedure)
	77176002	Current smoker
	185581000000100	Gastro-duodenal protection therapy (procedure)
	803841000000100	Community DMARD monitoring second letter
	3110003	Acute otitis media (disorder)
	1484831000000102	Influenza vaccination invitation first short message service text message sent (situation)
	1443911000000106	Edoxaban declined
	275742001	Sterile pyuria (finding)
	391158008	Antibiotic prophylaxis recommended (situation)
	925601000000100	Latent tuberculosis screening invitation second letter
	201441000000107	Chlamydia test positive (finding)
	796161000000101	Requires information in Easyread
	787261000000106	Holistic needs assessment (procedure)
	713603004	Advance care planning
	443402002	Lifestyle education regarding hypertension
	103313004	Patient given information
	360591000000102	Appointment letter sent to patient (finding)
	1082461000000109	Third diphtheria, tetanus and acellular pertussis, inactivated polio, Haemophilus influenzae type b and hepatitis B vaccination (procedure)
	366121000000108	General practice physical activity questionnaire physical activity index: inactive
	340891000000106	Asthma trigger - airborne dust
	716671000000102	Dementia monitoring third letter
	871271000000102	Invitation to participate in research study
	520491000000109	Preferred method of communication: written (finding)
	1005671000000105	Serum cholesterol level (observable entity)
	783871000000107	Repeat dispensing service declined (situation)
	1067061000000104	Atrial fibrillation not detected (situation)
	11466000	Cesarean section (procedure)
	160577002	Heavy drinker - 7-9u/day (finding)
	171040007	Cervical cytology education
	278543008	Good oral hygiene (finding)
	1083321000000104	Signposting to paramedic (procedure)
	1094391000000102	Reasonable adjustment for health and care access
	84229001	Fatigue
	394967008	Suspected asthma (situation)
	867671000000101	First Primary Immunisation Invitation first letter
	716011000000103	Epilepsy screening first invitation (procedure)
	711451000000102	Depression monitoring invitation
	720433000	Patient Health Questionnaire Nine Item score
	976691000000100	White: any other White background - England and Wales ethnic category 2011 census (finding)
	977731000000108	Asian or Asian British: Bangladeshi - Northern Ireland ethnic category 2011 census
	170777000	Diabetes annual review
	343121000000108	Choose and book referral
	86933000	Heavy drinker
	988781000000100	Provision of written information about cancer
	1321761000000103	SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2) IgA detection result positive
	170625000	Inhaler technique - good (finding)
	199301000000100	Did not attend diabetic retinopathy clinic (finding)
	424860001	Low income (finding)
	267038008	Edema (finding)
	1341451000000109	Comprehensive proactive care needs assessment refused (situation)
	1403031000000106	SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2) vaccination invitation short message service text message
	129839007	At increased risk for falls (finding)
	977591000000103	Asian or Asian British: Indian - Northern Ireland ethnic category 2011 census
	1240541000000107	Upper respiratory tract infection caused by SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2)
	394873005	Not interested in stopping smoking
	129065005	Dependent for dressing (finding)
	864531000000105	Recommendation to have child immunised against poliomyelitis
	183997009	Vasectomy requested (situation)
	306981006	Education relating to information and organizations (procedure)
	702982008	Referral to voluntary support service for carers
	967131000000100	Provision of Treating Your Infection self-care patient leaflet
	824421000000101	Referral for ambulatory blood pressure monitoring (procedure)
	1083071000000102	Depression monitoring invitation short message service text message (procedure)
	741056003	Education about chronic obstructive pulmonary disease
	135807000	Lipid lowering therapy not indicated (situation)
	870590002	Acute hypoxemic respiratory failure due to disease caused by SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2)
	269175006	Beta thalassemia trait (disorder)
	371611000000107	Chronic obstructive pulmonary disease patient unsuitable for pulmonary rehabilitation (finding)
	822931000000100	Seasonal influenza vaccination declined
	1025321000000109	Referral to NHS Diabetes Prevention Programme
	1103861000000107	Cancer information offered
	715031000000101	New patient screening administration (record artifact)
	247583006	Decision making (observable entity)
	1066991000000109	Rheumatoid arthritis monitoring invitation by short message service text messaging
	37351000000107	Administration note
	183053008	Patient advised regarding OTC medication
	185381007	Repeat medication check
	708735004	Epworth Sleepiness Scale (assessment scale)
	514021000000103	Learning Disability Annual Health Asessment Declined
	838601000000103	Measles mumps rubella catch-up vaccination invitation
	315571004	Main spoken language French
	169491004	IUD Check
	1362591000000103	Immunisation course to maintain protection for COVID19
	134274008	Reads Punjabi
	376401000000103	Referral to alcohol brief intervention service
	183854003	Referral to audiology clinic (procedure)
	972071000000109	Reads Romanian
	716441000000105	Excepted from learning disabilities quality indicators - informed dissent
	185655002	Adult screening - first recall (procedure)
	293432006	3-Hydroxy-3-methylglutaryl coenzyme A reductase inhibitor adverse reaction (disorder)
	127013003	Disorder of kidney due to diabetes mellitus (disorder)
	395700008	Referral to smoking cessation advisor
	1321791000000109	SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2) IgA detection result negative
	285034004	Able to manage medication (finding)
	368071000000109	Catholic: non Roman Catholic
